chrX	60257	60298	chrX	60250	60300
chrX	21672	21713	chrX	21650	21700
chrX	21672	21713	chrX	21700	21750
chrX	176120	176161	chrX	176100	176150
chrX	176120	176161	chrX	176150	176200
chrX	146380	146421	chrX	146350	146400
chrX	146380	146421	chrX	146400	146450
chrX	27611	27652	chrX	27600	27650
chrX	27611	27652	chrX	27650	27700
chrX	128563	128604	chrX	128550	128600
chrX	128563	128604	chrX	128600	128650
chrX	69154	69195	chrX	69150	69200
chrX	54312	54353	chrX	54300	54350
chrX	54312	54353	chrX	54350	54400
chrX	15770	15811	chrX	15750	15800
chrX	15770	15811	chrX	15800	15850
chrX	45449	45490	chrX	45400	45450
chrX	45449	45490	chrX	45450	45500
chrX	98865	98906	chrX	98850	98900
chrX	98865	98906	chrX	98900	98950
chrX	24644	24685	chrX	24600	24650
chrX	24644	24685	chrX	24650	24700
chrX	36525	36566	chrX	36500	36550
chrX	36525	36566	chrX	36550	36600
chrX	51353	51394	chrX	51350	51400
chrX	33568	33609	chrX	33550	33600
chrX	33568	33609	chrX	33600	33650
chrX	167202	167243	chrX	167200	167250
chrX	173148	173189	chrX	173100	173150
chrX	173148	173189	chrX	173150	173200
chrX	113703	113744	chrX	113700	113750
chrX	95889	95930	chrX	95850	95900
chrX	95889	95930	chrX	95900	95950
chrX	152336	152377	chrX	152300	152350
chrX	152336	152377	chrX	152350	152400
chrX	119649	119690	chrX	119600	119650
chrX	119649	119690	chrX	119650	119700
chrX	137454	137495	chrX	137450	137500
chrX	63225	63266	chrX	63200	63250
chrX	63225	63266	chrX	63250	63300
chrX	101835	101876	chrX	101800	101850
chrX	101835	101876	chrX	101850	101900
chrX	149360	149401	chrX	149350	149400
chrX	149360	149401	chrX	149400	149450
chrX	116685	116726	chrX	116650	116700
chrX	116685	116726	chrX	116700	116750
chrX	57271	57312	chrX	57250	57300
chrX	57271	57312	chrX	57300	57350
chrX	158286	158327	chrX	158250	158300
chrX	158286	158327	chrX	158300	158350
chrX	92893	92934	chrX	92850	92900
chrX	92893	92934	chrX	92900	92950
chrX	18723	18764	chrX	18700	18750
chrX	18723	18764	chrX	18750	18800
chrX	134487	134528	chrX	134450	134500
chrX	134487	134528	chrX	134500	134550
chrX	164230	164271	chrX	164200	164250
chrX	164230	164271	chrX	164250	164300
chrX	125593	125634	chrX	125550	125600
chrX	125593	125634	chrX	125600	125650
chrX	161258	161299	chrX	161250	161300
chrX	72126	72167	chrX	72100	72150
chrX	72126	72167	chrX	72150	72200
chrX	110729	110770	chrX	110700	110750
chrX	110729	110770	chrX	110750	110800
chrX	81004	81045	chrX	81000	81050
chrX	131526	131567	chrX	131500	131550
chrX	131526	131567	chrX	131550	131600
chrX	48404	48445	chrX	48400	48450
chrX	42465	42506	chrX	42450	42500
chrX	42465	42506	chrX	42500	42550
chrX	170174	170215	chrX	170150	170200
chrX	170174	170215	chrX	170200	170250
chrX	89929	89970	chrX	89900	89950
chrX	89929	89970	chrX	89950	90000
chrX	107755	107796	chrX	107750	107800
chrX	39493	39534	chrX	39450	39500
chrX	39493	39534	chrX	39500	39550
chrX	30587	30628	chrX	30550	30600
chrX	30587	30628	chrX	30600	30650
chrX	122617	122658	chrX	122600	122650
chrX	122617	122658	chrX	122650	122700
chrX	140427	140468	chrX	140400	140450
chrX	140427	140468	chrX	140450	140500
chrX	66193	66234	chrX	66150	66200
chrX	66193	66234	chrX	66200	66250
chrX	75075	75116	chrX	75050	75100
chrX	75075	75116	chrX	75100	75150
chrX	155308	155349	chrX	155300	155350
chrX	78046	78087	chrX	78000	78050
chrX	78046	78087	chrX	78050	78100
chrX	143404	143445	chrX	143400	143450
chrX	86949	86990	chrX	86900	86950
chrX	86949	86990	chrX	86950	87000
chrX	104794	104835	chrX	104750	104800
chrX	104794	104835	chrX	104800	104850
chrX	83976	84017	chrX	83950	84000
chrX	83976	84017	chrX	84000	84050
chrX	179067	179088	chrX	179050	179100
